size	alpha	fill	x	y	showSelected1	showSelected2
4	1	#00BFC4	0.782025085341705	0.497676546890698	1	second class
2.5	0.3	#F8766D	0.786913136803078	0.51647060442954	1	first class
2.5	0.3	#00BFC4	0.374960732150743	-0.0717912264755778	1	second class
2.5	0.3	#00BFC4	0.27110877070886	-0.0185753831070887	1	second class
2.5	0.3	#00BFC4	0.619528998987617	0.861108637560955	1	second class
2.5	0.3	#00BFC4	0.938088289423278	-0.220717712254536	1	second class
2.5	0.3	#00BFC4	-0.0260044483072397	0.66679261633058	1	second class
2.5	0.3	#00BFC4	1.42646422147681	0.508968833943465	1	second class
2.5	0.3	#00BFC4	0.694037336260083	1.18130347974915	1	second class
2.5	0.3	#00BFC4	1.15337311783652	1.0530042267305	1	second class
2.5	0.3	#00BFC4	1.55391765353759	0.715226992948991	1	second class
2.5	0.3	#F8766D	0.224081797439462	-0.746681486005245	1	first class
2.5	0.3	#00BFC4	1.82158108163749	0.311991383532642	1	second class
2.5	0.3	#00BFC4	-0.0678237059868452	1.37963948275988	1	second class
2.5	0.3	#00BFC4	1.87813348753304	0.290799237417607	1	second class
2.5	0.3	#F8766D	-0.870712264839054	0.207961998304991	1	first class
2.5	0.3	#F8766D	-0.298644098436315	-0.876145756155386	1	first class
2.5	0.3	#F8766D	-0.88931728405488	0.368602284014458	1	first class
2.5	0.3	#00BFC4	0.704928517007729	-1.30916887564081	1	second class
2.5	0.3	#00BFC4	-0.686693310742413	1.30352864140426	1	second class
2.5	0.3	#00BFC4	1.83778704449452	1.44820977862943	1	second class
2.5	0.3	#F8766D	-0.929491608575424	1.16895596533851	1	first class
2.5	0.3	#00BFC4	-0.138136937011948	1.92226746787974	1	second class
2.5	0.3	#F8766D	-0.599228549405948	-1.04287045729132	1	first class
2.5	0.3	#F8766D	-0.640186172942636	-1.0285467553487	1	first class
2.5	0.3	#00BFC4	1.68864025410009	2.0255713696967	1	second class
2.5	0.3	#F8766D	-0.539083794010798	-1.40288483529908	1	first class
2.5	0.3	#00BFC4	1.89512566104502	2.00573852446226	1	second class
2.5	0.3	#F8766D	-1.47279140772793	-0.784058431256027	1	first class
2.5	0.3	#F8766D	-1.68685285189353	-0.220034881663682	1	first class
2.5	0.3	#F8766D	-1.23017748948328	-1.2079172780196	1	first class
2.5	0.3	#F8766D	0.715064986883281	-2.12310858320335	1	first class
2.5	0.3	#F8766D	-1.44566197009996	-1.08336906647183	1	first class
2.5	0.3	#F8766D	0.558708314149124	-2.26539635156826	1	first class
2.5	0.3	#F8766D	-1.55584113475408	-1.22577098565927	1	first class
2.5	0.3	#F8766D	-1.56047564655221	-1.69470697892051	1	first class
2.5	0.3	#F8766D	-0.502149521770761	-2.54875280423022	1	first class
2.5	0.3	#00BFC4	2.25381492106993	3.05008468562714	1	second class
2.5	0.3	#F8766D	-2.26506123460653	-1.46665535362322	1	first class
2.5	0.3	#F8766D	-2.96661715662964	-0.415386250363931	1	first class
4	1	#00BFC4	0.782025085341705	0.497676546890698	2	second class
4	1	#F8766D	0.786913136803078	0.51647060442954	2	first class
2.5	0.3	#00BFC4	0.374960732150743	-0.0717912264755778	2	second class
2.5	0.3	#00BFC4	0.27110877070886	-0.0185753831070887	2	second class
2.5	0.3	#00BFC4	0.619528998987617	0.861108637560955	2	second class
2.5	0.3	#00BFC4	0.938088289423278	-0.220717712254536	2	second class
2.5	0.3	#00BFC4	-0.0260044483072397	0.66679261633058	2	second class
2.5	0.3	#00BFC4	1.42646422147681	0.508968833943465	2	second class
2.5	0.3	#00BFC4	0.694037336260083	1.18130347974915	2	second class
2.5	0.3	#00BFC4	1.15337311783652	1.0530042267305	2	second class
2.5	0.3	#00BFC4	1.55391765353759	0.715226992948991	2	second class
2.5	0.3	#F8766D	0.224081797439462	-0.746681486005245	2	first class
2.5	0.3	#00BFC4	1.82158108163749	0.311991383532642	2	second class
2.5	0.3	#00BFC4	-0.0678237059868452	1.37963948275988	2	second class
2.5	0.3	#00BFC4	1.87813348753304	0.290799237417607	2	second class
2.5	0.3	#F8766D	-0.870712264839054	0.207961998304991	2	first class
2.5	0.3	#F8766D	-0.298644098436315	-0.876145756155386	2	first class
2.5	0.3	#F8766D	-0.88931728405488	0.368602284014458	2	first class
2.5	0.3	#00BFC4	0.704928517007729	-1.30916887564081	2	second class
2.5	0.3	#00BFC4	-0.686693310742413	1.30352864140426	2	second class
2.5	0.3	#00BFC4	1.83778704449452	1.44820977862943	2	second class
2.5	0.3	#F8766D	-0.929491608575424	1.16895596533851	2	first class
2.5	0.3	#00BFC4	-0.138136937011948	1.92226746787974	2	second class
2.5	0.3	#F8766D	-0.599228549405948	-1.04287045729132	2	first class
2.5	0.3	#F8766D	-0.640186172942636	-1.0285467553487	2	first class
2.5	0.3	#00BFC4	1.68864025410009	2.0255713696967	2	second class
2.5	0.3	#F8766D	-0.539083794010798	-1.40288483529908	2	first class
2.5	0.3	#00BFC4	1.89512566104502	2.00573852446226	2	second class
2.5	0.3	#F8766D	-1.47279140772793	-0.784058431256027	2	first class
2.5	0.3	#F8766D	-1.68685285189353	-0.220034881663682	2	first class
2.5	0.3	#F8766D	-1.23017748948328	-1.2079172780196	2	first class
2.5	0.3	#F8766D	0.715064986883281	-2.12310858320335	2	first class
2.5	0.3	#F8766D	-1.44566197009996	-1.08336906647183	2	first class
2.5	0.3	#F8766D	0.558708314149124	-2.26539635156826	2	first class
2.5	0.3	#F8766D	-1.55584113475408	-1.22577098565927	2	first class
2.5	0.3	#F8766D	-1.56047564655221	-1.69470697892051	2	first class
2.5	0.3	#F8766D	-0.502149521770761	-2.54875280423022	2	first class
2.5	0.3	#00BFC4	2.25381492106993	3.05008468562714	2	second class
2.5	0.3	#F8766D	-2.26506123460653	-1.46665535362322	2	first class
2.5	0.3	#F8766D	-2.96661715662964	-0.415386250363931	2	first class
4	1	#00BFC4	0.782025085341705	0.497676546890698	3	second class
4	1	#F8766D	0.786913136803078	0.51647060442954	3	first class
4	1	#00BFC4	0.374960732150743	-0.0717912264755778	3	second class
2.5	0.3	#00BFC4	0.27110877070886	-0.0185753831070887	3	second class
2.5	0.3	#00BFC4	0.619528998987617	0.861108637560955	3	second class
2.5	0.3	#00BFC4	0.938088289423278	-0.220717712254536	3	second class
2.5	0.3	#00BFC4	-0.0260044483072397	0.66679261633058	3	second class
2.5	0.3	#00BFC4	1.42646422147681	0.508968833943465	3	second class
2.5	0.3	#00BFC4	0.694037336260083	1.18130347974915	3	second class
2.5	0.3	#00BFC4	1.15337311783652	1.0530042267305	3	second class
2.5	0.3	#00BFC4	1.55391765353759	0.715226992948991	3	second class
2.5	0.3	#F8766D	0.224081797439462	-0.746681486005245	3	first class
2.5	0.3	#00BFC4	1.82158108163749	0.311991383532642	3	second class
2.5	0.3	#00BFC4	-0.0678237059868452	1.37963948275988	3	second class
2.5	0.3	#00BFC4	1.87813348753304	0.290799237417607	3	second class
2.5	0.3	#F8766D	-0.870712264839054	0.207961998304991	3	first class
2.5	0.3	#F8766D	-0.298644098436315	-0.876145756155386	3	first class
2.5	0.3	#F8766D	-0.88931728405488	0.368602284014458	3	first class
2.5	0.3	#00BFC4	0.704928517007729	-1.30916887564081	3	second class
2.5	0.3	#00BFC4	-0.686693310742413	1.30352864140426	3	second class
2.5	0.3	#00BFC4	1.83778704449452	1.44820977862943	3	second class
2.5	0.3	#F8766D	-0.929491608575424	1.16895596533851	3	first class
2.5	0.3	#00BFC4	-0.138136937011948	1.92226746787974	3	second class
2.5	0.3	#F8766D	-0.599228549405948	-1.04287045729132	3	first class
2.5	0.3	#F8766D	-0.640186172942636	-1.0285467553487	3	first class
2.5	0.3	#00BFC4	1.68864025410009	2.0255713696967	3	second class
2.5	0.3	#F8766D	-0.539083794010798	-1.40288483529908	3	first class
2.5	0.3	#00BFC4	1.89512566104502	2.00573852446226	3	second class
2.5	0.3	#F8766D	-1.47279140772793	-0.784058431256027	3	first class
2.5	0.3	#F8766D	-1.68685285189353	-0.220034881663682	3	first class
2.5	0.3	#F8766D	-1.23017748948328	-1.2079172780196	3	first class
2.5	0.3	#F8766D	0.715064986883281	-2.12310858320335	3	first class
2.5	0.3	#F8766D	-1.44566197009996	-1.08336906647183	3	first class
2.5	0.3	#F8766D	0.558708314149124	-2.26539635156826	3	first class
2.5	0.3	#F8766D	-1.55584113475408	-1.22577098565927	3	first class
2.5	0.3	#F8766D	-1.56047564655221	-1.69470697892051	3	first class
2.5	0.3	#F8766D	-0.502149521770761	-2.54875280423022	3	first class
2.5	0.3	#00BFC4	2.25381492106993	3.05008468562714	3	second class
2.5	0.3	#F8766D	-2.26506123460653	-1.46665535362322	3	first class
2.5	0.3	#F8766D	-2.96661715662964	-0.415386250363931	3	first class
4	1	#00BFC4	0.782025085341705	0.497676546890698	4	second class
4	1	#F8766D	0.786913136803078	0.51647060442954	4	first class
4	1	#00BFC4	0.374960732150743	-0.0717912264755778	4	second class
4	1	#00BFC4	0.27110877070886	-0.0185753831070887	4	second class
2.5	0.3	#00BFC4	0.619528998987617	0.861108637560955	4	second class
2.5	0.3	#00BFC4	0.938088289423278	-0.220717712254536	4	second class
2.5	0.3	#00BFC4	-0.0260044483072397	0.66679261633058	4	second class
2.5	0.3	#00BFC4	1.42646422147681	0.508968833943465	4	second class
2.5	0.3	#00BFC4	0.694037336260083	1.18130347974915	4	second class
2.5	0.3	#00BFC4	1.15337311783652	1.0530042267305	4	second class
2.5	0.3	#00BFC4	1.55391765353759	0.715226992948991	4	second class
2.5	0.3	#F8766D	0.224081797439462	-0.746681486005245	4	first class
2.5	0.3	#00BFC4	1.82158108163749	0.311991383532642	4	second class
2.5	0.3	#00BFC4	-0.0678237059868452	1.37963948275988	4	second class
2.5	0.3	#00BFC4	1.87813348753304	0.290799237417607	4	second class
2.5	0.3	#F8766D	-0.870712264839054	0.207961998304991	4	first class
2.5	0.3	#F8766D	-0.298644098436315	-0.876145756155386	4	first class
2.5	0.3	#F8766D	-0.88931728405488	0.368602284014458	4	first class
2.5	0.3	#00BFC4	0.704928517007729	-1.30916887564081	4	second class
2.5	0.3	#00BFC4	-0.686693310742413	1.30352864140426	4	second class
2.5	0.3	#00BFC4	1.83778704449452	1.44820977862943	4	second class
2.5	0.3	#F8766D	-0.929491608575424	1.16895596533851	4	first class
2.5	0.3	#00BFC4	-0.138136937011948	1.92226746787974	4	second class
2.5	0.3	#F8766D	-0.599228549405948	-1.04287045729132	4	first class
2.5	0.3	#F8766D	-0.640186172942636	-1.0285467553487	4	first class
2.5	0.3	#00BFC4	1.68864025410009	2.0255713696967	4	second class
2.5	0.3	#F8766D	-0.539083794010798	-1.40288483529908	4	first class
2.5	0.3	#00BFC4	1.89512566104502	2.00573852446226	4	second class
2.5	0.3	#F8766D	-1.47279140772793	-0.784058431256027	4	first class
2.5	0.3	#F8766D	-1.68685285189353	-0.220034881663682	4	first class
2.5	0.3	#F8766D	-1.23017748948328	-1.2079172780196	4	first class
2.5	0.3	#F8766D	0.715064986883281	-2.12310858320335	4	first class
2.5	0.3	#F8766D	-1.44566197009996	-1.08336906647183	4	first class
2.5	0.3	#F8766D	0.558708314149124	-2.26539635156826	4	first class
2.5	0.3	#F8766D	-1.55584113475408	-1.22577098565927	4	first class
2.5	0.3	#F8766D	-1.56047564655221	-1.69470697892051	4	first class
2.5	0.3	#F8766D	-0.502149521770761	-2.54875280423022	4	first class
2.5	0.3	#00BFC4	2.25381492106993	3.05008468562714	4	second class
2.5	0.3	#F8766D	-2.26506123460653	-1.46665535362322	4	first class
2.5	0.3	#F8766D	-2.96661715662964	-0.415386250363931	4	first class
4	1	#00BFC4	0.782025085341705	0.497676546890698	5	second class
4	1	#F8766D	0.786913136803078	0.51647060442954	5	first class
4	1	#00BFC4	0.374960732150743	-0.0717912264755778	5	second class
4	1	#00BFC4	0.27110877070886	-0.0185753831070887	5	second class
4	1	#00BFC4	0.619528998987617	0.861108637560955	5	second class
2.5	0.3	#00BFC4	0.938088289423278	-0.220717712254536	5	second class
2.5	0.3	#00BFC4	-0.0260044483072397	0.66679261633058	5	second class
2.5	0.3	#00BFC4	1.42646422147681	0.508968833943465	5	second class
2.5	0.3	#00BFC4	0.694037336260083	1.18130347974915	5	second class
2.5	0.3	#00BFC4	1.15337311783652	1.0530042267305	5	second class
2.5	0.3	#00BFC4	1.55391765353759	0.715226992948991	5	second class
2.5	0.3	#F8766D	0.224081797439462	-0.746681486005245	5	first class
2.5	0.3	#00BFC4	1.82158108163749	0.311991383532642	5	second class
2.5	0.3	#00BFC4	-0.0678237059868452	1.37963948275988	5	second class
2.5	0.3	#00BFC4	1.87813348753304	0.290799237417607	5	second class
2.5	0.3	#F8766D	-0.870712264839054	0.207961998304991	5	first class
2.5	0.3	#F8766D	-0.298644098436315	-0.876145756155386	5	first class
2.5	0.3	#F8766D	-0.88931728405488	0.368602284014458	5	first class
2.5	0.3	#00BFC4	0.704928517007729	-1.30916887564081	5	second class
2.5	0.3	#00BFC4	-0.686693310742413	1.30352864140426	5	second class
2.5	0.3	#00BFC4	1.83778704449452	1.44820977862943	5	second class
2.5	0.3	#F8766D	-0.929491608575424	1.16895596533851	5	first class
2.5	0.3	#00BFC4	-0.138136937011948	1.92226746787974	5	second class
2.5	0.3	#F8766D	-0.599228549405948	-1.04287045729132	5	first class
2.5	0.3	#F8766D	-0.640186172942636	-1.0285467553487	5	first class
2.5	0.3	#00BFC4	1.68864025410009	2.0255713696967	5	second class
2.5	0.3	#F8766D	-0.539083794010798	-1.40288483529908	5	first class
2.5	0.3	#00BFC4	1.89512566104502	2.00573852446226	5	second class
2.5	0.3	#F8766D	-1.47279140772793	-0.784058431256027	5	first class
2.5	0.3	#F8766D	-1.68685285189353	-0.220034881663682	5	first class
2.5	0.3	#F8766D	-1.23017748948328	-1.2079172780196	5	first class
