group	colour	x	y	showSelected1
1	#F8766D	2	1	first class
1	#F8766D	3	1	first class
1	#F8766D	4	1	first class
1	#F8766D	5	1	first class
1	#F8766D	6	1	first class
1	#F8766D	7	1	first class
1	#F8766D	8	1	first class
1	#F8766D	9	1	first class
1	#F8766D	10	1	first class
1	#F8766D	11	1	first class
1	#F8766D	12	2	first class
1	#F8766D	13	2	first class
1	#F8766D	14	2	first class
1	#F8766D	15	2	first class
1	#F8766D	16	3	first class
1	#F8766D	17	4	first class
1	#F8766D	18	5	first class
1	#F8766D	19	5	first class
1	#F8766D	20	5	first class
1	#F8766D	21	5	first class
1	#F8766D	22	6	first class
1	#F8766D	23	6	first class
1	#F8766D	24	7	first class
1	#F8766D	25	8	first class
1	#F8766D	26	8	first class
1	#F8766D	27	9	first class
1	#F8766D	28	9	first class
1	#F8766D	29	10	first class
1	#F8766D	30	11	first class
2	#00BFC4	1	1	second class
2	#00BFC4	2	1	second class
2	#00BFC4	3	2	second class
2	#00BFC4	4	3	second class
2	#00BFC4	5	4	second class
2	#00BFC4	6	5	second class
2	#00BFC4	7	6	second class
2	#00BFC4	8	7	second class
2	#00BFC4	9	8	second class
2	#00BFC4	10	9	second class
2	#00BFC4	11	10	second class
2	#00BFC4	12	10	second class
2	#00BFC4	13	11	second class
2	#00BFC4	14	12	second class
2	#00BFC4	15	13	second class
2	#00BFC4	16	13	second class
2	#00BFC4	17	13	second class
2	#00BFC4	18	13	second class
2	#00BFC4	19	14	second class
2	#00BFC4	20	15	second class
2	#00BFC4	21	16	second class
2	#00BFC4	22	16	second class
2	#00BFC4	23	17	second class
2	#00BFC4	24	17	second class
2	#00BFC4	25	17	second class
2	#00BFC4	26	18	second class
2	#00BFC4	27	18	second class
2	#00BFC4	28	19	second class
2	#00BFC4	29	19	second class
2	#00BFC4	30	19	second class
