colour	shape	x	y	showSelected1	showSelected2	fill
#70AD47	2	0.345415356081182	2.76728726937265	1	second class	#70AD47
#70AD47	2	0.345415356081182	2.76728726937265	2	second class	#70AD47
#70AD47	2	0.494042537885743	2.34303882517041	2	second class	#70AD47
#70AD47	2	0.345415356081182	2.76728726937265	3	second class	#70AD47
#70AD47	2	0.494042537885743	2.34303882517041	3	second class	#70AD47
#70AD47	2	0.45747996900835	2.20786780598317	3	second class	#70AD47
#70AD47	2	0.345415356081182	2.76728726937265	4	second class	#70AD47
#70AD47	2	0.494042537885743	2.34303882517041	4	second class	#70AD47
#70AD47	2	0.45747996900835	2.20786780598317	4	second class	#70AD47
#70AD47	2	1.38418535782634	2.68217608051942	4	second class	#70AD47
#70AD47	2	0.345415356081182	2.76728726937265	5	second class	#70AD47
#70AD47	2	0.494042537885743	2.34303882517041	5	second class	#70AD47
#70AD47	2	0.45747996900835	2.20786780598317	5	second class	#70AD47
#70AD47	2	1.38418535782634	2.68217608051942	5	second class	#70AD47
#70AD47	2	-0.384426847384491	2.86929062242358	5	second class	#70AD47
#70AD47	2	0.345415356081182	2.76728726937265	6	second class	#70AD47
#70AD47	2	0.494042537885743	2.34303882517041	6	second class	#70AD47
#70AD47	2	0.45747996900835	2.20786780598317	6	second class	#70AD47
#70AD47	2	1.38418535782634	2.68217608051942	6	second class	#70AD47
#70AD47	2	-0.384426847384491	2.86929062242358	6	second class	#70AD47
#70AD47	2	0.899809258786438	1.71266630705141	6	second class	#70AD47
#70AD47	2	0.345415356081182	2.76728726937265	7	second class	#70AD47
#70AD47	2	0.494042537885743	2.34303882517041	7	second class	#70AD47
#70AD47	2	0.45747996900835	2.20786780598317	7	second class	#70AD47
#70AD47	2	1.38418535782634	2.68217608051942	7	second class	#70AD47
#70AD47	2	-0.384426847384491	2.86929062242358	7	second class	#70AD47
#70AD47	2	0.899809258786438	1.71266630705141	7	second class	#70AD47
#70AD47	2	1.71670747601721	1.91017422949523	7	second class	#70AD47
#70AD47	2	0.345415356081182	2.76728726937265	8	second class	#70AD47
#70AD47	2	0.494042537885743	2.34303882517041	8	second class	#70AD47
#70AD47	2	0.45747996900835	2.20786780598317	8	second class	#70AD47
#70AD47	2	1.38418535782634	2.68217608051942	8	second class	#70AD47
#70AD47	2	-0.384426847384491	2.86929062242358	8	second class	#70AD47
#70AD47	2	0.899809258786438	1.71266630705141	8	second class	#70AD47
#70AD47	2	1.71670747601721	1.91017422949523	8	second class	#70AD47
#70AD47	2	-0.914359425680012	2.17658331201856	8	second class	#70AD47
#70AD47	2	0.345415356081182	2.76728726937265	9	second class	#70AD47
#70AD47	2	0.494042537885743	2.34303882517041	9	second class	#70AD47
#70AD47	2	0.45747996900835	2.20786780598317	9	second class	#70AD47
#70AD47	2	1.38418535782634	2.68217608051942	9	second class	#70AD47
