colour	x	y	showSelected1	showSelected2	fill
#00BFC4	1	1	1	second class	#00BFC4
#F8766D	2	1	2	first class	#F8766D
#00BFC4	2	1	2	second class	#00BFC4
#F8766D	3	1	3	first class	#F8766D
#00BFC4	3	2	3	second class	#00BFC4
#F8766D	4	1	4	first class	#F8766D
#00BFC4	4	3	4	second class	#00BFC4
#F8766D	5	1	5	first class	#F8766D
#00BFC4	5	4	5	second class	#00BFC4
#F8766D	6	1	6	first class	#F8766D
#00BFC4	6	5	6	second class	#00BFC4
#F8766D	7	1	7	first class	#F8766D
#00BFC4	7	6	7	second class	#00BFC4
#F8766D	8	1	8	first class	#F8766D
#00BFC4	8	7	8	second class	#00BFC4
#F8766D	9	1	9	first class	#F8766D
#00BFC4	9	8	9	second class	#00BFC4
#F8766D	10	1	10	first class	#F8766D
#00BFC4	10	9	10	second class	#00BFC4
#F8766D	11	1	11	first class	#F8766D
#00BFC4	11	10	11	second class	#00BFC4
#F8766D	12	2	12	first class	#F8766D
#00BFC4	12	10	12	second class	#00BFC4
#F8766D	13	2	13	first class	#F8766D
#00BFC4	13	11	13	second class	#00BFC4
#F8766D	14	2	14	first class	#F8766D
#00BFC4	14	12	14	second class	#00BFC4
#F8766D	15	2	15	first class	#F8766D
#00BFC4	15	13	15	second class	#00BFC4
#F8766D	16	3	16	first class	#F8766D
#00BFC4	16	13	16	second class	#00BFC4
#F8766D	17	4	17	first class	#F8766D
#00BFC4	17	13	17	second class	#00BFC4
#F8766D	18	5	18	first class	#F8766D
#00BFC4	18	13	18	second class	#00BFC4
#F8766D	19	5	19	first class	#F8766D
#00BFC4	19	14	19	second class	#00BFC4
#F8766D	20	5	20	first class	#F8766D
#00BFC4	20	15	20	second class	#00BFC4
#F8766D	21	5	21	first class	#F8766D
#00BFC4	21	16	21	second class	#00BFC4
#F8766D	22	6	22	first class	#F8766D
#00BFC4	22	16	22	second class	#00BFC4
#F8766D	23	6	23	first class	#F8766D
#00BFC4	23	17	23	second class	#00BFC4
#F8766D	24	7	24	first class	#F8766D
#00BFC4	24	17	24	second class	#00BFC4
#F8766D	25	8	25	first class	#F8766D
#00BFC4	25	17	25	second class	#00BFC4
#F8766D	26	8	26	first class	#F8766D
#00BFC4	26	18	26	second class	#00BFC4
#F8766D	27	9	27	first class	#F8766D
#00BFC4	27	18	27	second class	#00BFC4
#F8766D	28	9	28	first class	#F8766D
#00BFC4	28	19	28	second class	#00BFC4
#F8766D	29	10	29	first class	#F8766D
#00BFC4	29	19	29	second class	#00BFC4
#F8766D	30	11	30	first class	#F8766D
#00BFC4	30	19	30	second class	#00BFC4
